FEEDER_ID,FROM_DT,TO_DATE,IMP,EXP,BASIS,HOLD,ENTRY_DT,LOGIN,REMARK,BK_IMP,BK_EXP,METERNO,USER_IP,I_READ_DT,F_READ_DT,EXP_IREAD,EXP_FREAD,IMP_IREAD,IMP_FREAD,MF,DIVISION
SNZMD116,2023-01-01,2023-01-31,0,0.008,D ,N,2023-02-10T18:31:14,nphg,METER CHANGE,,,29955509,10.125.68.150,,,,,,,1500,2540
SNZMD120,2023-01-01,2023-01-31,0,0.989,D ,N,2023-02-10T18:31:28,nphg,METER CHANGE,,,29955471,10.125.68.150,,,,,,,8000,2540
SPLAP119,2023-01-01,2023-01-31,0,0.3947,D ,N,2023-02-13T14:17:24,nphg,LOAD BASIS,,,11001719,10.125.68.150,,,,,,,40000,2521
WNNWW127,2023-01-01,2023-01-31,0,0.0094,D ,N,2023-02-08T19:07:05,nphg,LOAD BASIS,,,29950234,10.125.68.150,,,,,,,3000,2631
SNZMD102,2023-01-01,2023-01-31,0,0.0472,D ,N,2023-02-10T18:28:18,nphg,METER CHANGE,,,29955504,10.125.68.150,,,,,,,8000,2540
SNZMD103,2023-01-01,2023-01-31,0,0.6268,D ,N,2023-02-10T18:28:32,nphg,METER CHANGE,,,29955502,10.125.68.150,,,,,,,8000,2540
SNZMD110,2023-01-01,2023-01-31,0,0.6571,D ,N,2023-02-10T18:30:05,nphg,METER CHANGE,,,29955501,10.125.68.150,,,,,,,8000,2540
SKKRI116,2023-01-01,2023-01-31,0,0.0039,D ,N,2023-02-14T13:47:41,nphg,LOAD BASIS,,,29955384,10.125.68.150,,,,,,,8000,2540
SKKRI121,2023-01-01,2023-01-31,0,0.4541,D ,N,2023-02-14T13:48:22,nphg,LOAD BASIS,,,29955432,10.125.68.150,,,,,,,8000,2540
SALKN106,2023-01-01,2023-01-31,0,0.5634,D ,N,2023-02-13T19:07:12,nphg,LOAD BASIS,,,29950383,10.125.68.150,,,,,,,8000,2510
SNZMD121,2023-01-01,2023-01-31,0,0.5006,D ,N,2023-02-10T18:31:49,nphg,METER CHANGE,,,29955472,10.125.68.150,,,,,,,8000,2540
SKKRI123,2023-01-01,2023-01-31,0,0.3548,D ,N,2023-02-14T13:48:45,nphg,LOAD BASIS,,,29950537,10.125.68.150,,,,,,,40000,2540
SNZMD123,2023-01-01,2023-01-31,0,0.0007,D ,N,2023-02-10T18:32:18,nphg,METER CHANGE,,,29955474,10.125.68.150,,,,,,,8000,2540
SNZMD108,2023-01-01,2023-01-31,0,0.5097,D ,N,2023-02-10T18:29:40,nphg,METER CHANGE,,,29955464,10.125.68.150,,,,,,,8000,2540
SALKN104,2023-01-01,2023-01-31,0,0.4112,D ,N,2023-02-13T19:06:52,nphg,LOAD BASIS,,,29950349,10.125.68.150,,,,,,,8000,2510
